macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
-4.304962,2.0385523,1.0513865,0.7472327,-2.4838922,-4.2134204,-4.3591123,UTTAR PRADESH,JHANSI
2.1676352,-3.929961,-2.0717788,-13.3269825,-0.47099236,-3.7268348,-2.5450938,UTTAR PRADESH,LALITPUR
2.3467953,-3.6535738,-0.40397528,-13.753873,-0.55528766,-3.4683602,-2.1644886,UTTAR PRADESH,HAMIRPUR
0.2265608,-3.454362,-1.1191993,-18.826477,-0.4592389,-3.6727111,-2.35021,UTTAR PRADESH,MAHOBA
2.0701578,-3.1862562,-1.1554059,5.249451,-2.4540071,-4.0686507,-3.929015,UTTAR PRADESH,BANDA
3.0301592,-6.8188004,-0.6037313,-17.250816,-1.3608264,-3.818732,-2.379762,UTTAR PRADESH,CHITRAKOOT
-3.9196925,1.7849967,-0.97520876,16.821293,-0.55265796,-5.9630637,-4.9284773,UTTAR PRADESH,FATEHPUR
-4.9399157,0.8800416,0.27515355,30.878374,-1.482174,-6.014956,-3.3191345,UTTAR PRADESH,PRATAPGARH
-3.619289,-3.1976469,-1.2046467,-3.7646563,-1.8991808,-4.171969,-3.9469388,UTTAR PRADESH,KAUSHAMBI
0.30474725,4.407083,0.62282145,65.150185,1.3615311,-7.204093,-2.3570185,UTTAR PRADESH,ALLAHABAD
-4.1669455,2.3419046,-1.8406817,30.61689,4.4025035,-7.1185374,-4.349858,UTTAR PRADESH,BARA BANKI
-5.059432,1.3018118,-0.5593882,13.554153,-2.7880886,-4.8391614,-4.550699,UTTAR PRADESH,FAIZABAD
-4.3464446,0.76801986,1.1617678,9.223953,-3.3437715,-4.659756,-4.8127317,UTTAR PRADESH,AMBEDKAR NAGAR
-5.068957,1.9765089,-0.18857613,26.043928,1.0576212,-7.1582804,-3.6705441,UTTAR PRADESH,SULTANPUR
-0.79303735,0.58759797,-0.81232303,28.730015,-2.8981566,-5.6268353,-4.32665,UTTAR PRADESH,BAHRAICH
0.4895341,-6.8228183,-0.74045813,-14.287242,-1.1765053,-3.918665,-3.2854269,UTTAR PRADESH,SHRAWASTI
2.44465,-3.251375,-0.8306947,9.701593,-4.1116543,-4.742516,-5.112571,UTTAR PRADESH,BALRAMPUR
-4.106575,0.68378115,-1.011397,27.34329,-2.2012744,-5.5984554,-4.269792,UTTAR PRADESH,GONDA
2.6208484,0.9436373,-1.0502939,15.8462715,-2.375343,-5.014123,-4.4752073,UTTAR PRADESH,SIDDHARTHNAGAR
-3.8720832,2.5877361,-1.065214,12.941387,-2.115453,-5.0019217,-4.878475,UTTAR PRADESH,BASTI
-0.16319707,2.5922842,-1.2260479,-3.173458,-2.7561872,-4.2024784,-4.06083,UTTAR PRADESH,SANT KABIR NAGAR
0.3426016,1.0777593,-2.4026003,17.348701,-2.6947374,-5.6632013,-4.563034,UTTAR PRADESH,MAHRAJGANJ
-0.5089234,3.7544239,1.2907126,43.75849,1.1100518,-7.388878,-2.2666893,UTTAR PRADESH,GORAKHPUR
-4.5267463,0.8509912,-0.2763209,30.289255,3.8526082,-6.70079,-4.299541,UTTAR PRADESH,KUSHINAGAR
-0.8625097,1.2240092,0.5868122,29.461779,4.790446,-6.336434,-3.7244,UTTAR PRADESH,DEORIA
-0.7973909,1.7685269,0.42714626,47.292053,-0.9205766,-7.215739,-2.649516,UTTAR PRADESH,AZAMGARH
-3.6360679,2.8039844,0.9865501,8.919753,4.0203705,-5.241779,-5.3876615,UTTAR PRADESH,MAU
-0.5558381,2.5470383,1.3832204,32.57187,1.1557448,-7.0357695,-3.2562382,UTTAR PRADESH,BALLIA
-0.32306987,1.8628128,1.2081099,45.749462,-0.70146877,-6.731517,-2.4876091,UTTAR PRADESH,JAUNPUR
-1.3750736,2.0447626,1.3685908,31.35252,-0.13643812,-7.078954,-3.0809689,UTTAR PRADESH,GHAZIPUR
-1.4991047,-3.0401754,-0.27464837,-0.1550046,-3.1370218,-4.092455,-4.1653247,UTTAR PRADESH,CHANDAULI
-4.43153,5.8342485,-0.36646575,25.220644,-1.0444511,-7.867098,-3.8539126,UTTAR PRADESH,VARANASI
