state_name,district_name,data_completeness_score,data_confidence_tier,macro_population,macro_literacy_rate,macro_economic_establishments,macro_economic_employees,macro_nightlights_mean,chronic_diabetes_prevalence,chronic_hypertension_prevalence,chronic_cancer_incidence_aar,infra_hospitals_count,infra_phc_chc_count,infra_pmbjp_kendra_count,climate_rainfall_annual_mm,climate_rainfall_volatility,climate_rainfall_deviation_pct
TAMIL NADU,VIRUDHUNAGAR,92.85714285714286,HIGH,62.34375,79.53125,84.0625,85.625,52.96875,95.859375,76.015625,50.31250000000001,97.421875,62.265625,61.64062500000001,21.09375,8.4375,96.5625
TAMIL NADU,RAMANATHAPURAM,92.85714285714286,HIGH,44.0625,80.46875,43.28125,45.9375,31.093749999999996,95.859375,76.015625,56.40625,96.25,62.96874999999999,47.34375,7.187499999999999,6.406249999999999,88.75
TAMIL NADU,THOOTHUKKUDI,78.57142857142857,MEDIUM,57.03125,92.5,82.1875,82.03125,60.0,95.859375,76.015625,40.15625,96.25,63.828125,58.203125,71.71875,62.18749999999999,98.125
TAMIL NADU,TIRUNELVELI,92.85714285714286,HIGH,82.03125,84.375,97.1875,93.4375,58.75,95.859375,76.015625,4.84375,95.234375,56.32812499999999,77.734375,10.78125,9.6875,99.6875
TAMIL NADU,KANNIYAKUMARI,92.85714285714286,HIGH,60.62499999999999,97.96875,72.65625,81.5625,76.71875,95.859375,76.015625,64.6875,96.25,50.625,93.515625,24.21875,12.65625,97.1875
TAMIL NADU,DHARMAPURI,92.85714285714286,HIGH,48.28125,45.9375,44.53125,48.4375,41.09375,95.859375,76.015625,54.21875000000001,77.96875,55.3125,63.28125,40.15625,15.46875,79.6875
TAMIL NADU,KRISHNAGIRI,85.71428571428571,MEDIUM,60.9375,54.0625,70.3125,78.125,63.4375,95.859375,76.015625,58.28124999999999,91.171875,64.53125,63.28125,57.8125,35.625,87.03125
TAMIL NADU,COIMBATORE,92.85714285714286,HIGH,85.625,90.9375,93.28125,97.34375,87.03125,95.859375,76.015625,93.59375,99.296875,87.03125,94.6875,78.59375,57.65625,100.0
TAMIL NADU,TIRUPPUR,85.71428571428571,MEDIUM,72.8125,76.71875,85.46875,93.125,72.96875,95.859375,76.015625,89.84375,96.25,70.859375,80.46875,30.312499999999996,10.9375,93.59375
PUDUCHERRY,YANAM,78.57142857142857,MEDIUM,1.875,75.625,3.28125,4.21875,94.6875,98.671875,87.1875,92.65625,12.578125000000002,0.15625,14.6875,62.5,45.3125,70.0
PUDUCHERRY,PUDUCHERRY,57.14285714285714,LOW,28.59375,91.40625,41.09375,67.96875,96.5625,98.671875,87.1875,90.46875,89.53125,40.78125,75.9375,2.96875,2.34375,88.125
PUDUCHERRY,MAHE,78.57142857142857,MEDIUM,0.9375,99.6875,1.875,3.5937499999999996,92.8125,98.671875,87.1875,94.21875,12.578125000000002,0.3125,53.75,95.46875,95.3125,51.09375000000001
PUDUCHERRY,KARAIKAL,85.71428571428571,MEDIUM,8.125,92.65625,11.09375,16.40625,94.0625,98.671875,87.1875,90.625,12.578125000000002,4.921875,21.328125,29.6875,12.34375,76.25
